method,count,normalized_transition_path
repair_loop,113,PASS
repair_loop,9,EXEC_FAIL → EXEC_FAIL → PASS
repair_loop,5,EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL
repair_loop,5,TEST_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL
repair_loop,5,EXEC_FAIL → PASS
repair_loop,4,TEST_FAIL → PASS
repair_loop,3,TEST_FAIL → TEST_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL
repair_loop,2,TEST_FAIL → EXEC_FAIL → EXEC_FAIL → TEST_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL
repair_loop,2,TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL
repair_loop,2,TEST_FAIL → EXEC_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL
repair_loop,1,TEST_FAIL → TEST_FAIL → EXEC_FAIL → EXEC_FAIL → PASS
repair_loop,1,EXEC_FAIL → EXEC_FAIL → TEST_FAIL → TEST_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → TEST_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL
repair_loop,1,TEST_FAIL → EXEC_FAIL → TEST_FAIL → EXEC_FAIL → PASS
repair_loop,1,EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → PASS
repair_loop,1,TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → EXEC_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → EXEC_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL
repair_loop,1,TEST_FAIL → EXEC_FAIL → EXEC_FAIL → TEST_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → TEST_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → TEST_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL
repair_loop,1,TEST_FAIL → TEST_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → PASS
repair_loop,1,TEST_FAIL → TEST_FAIL → EXEC_FAIL → EXEC_FAIL → TEST_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL
repair_loop,1,TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL → EXEC_FAIL → TEST_FAIL → EXEC_FAIL → TEST_FAIL → TEST_FAIL → EXEC_FAIL → TEST_FAIL → TEST_FAIL → TEST_FAIL
repair_loop,1,TEST_FAIL → TEST_FAIL → TEST_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL → EXEC_FAIL
