k,single,repair,Planning,Planning-Repair
1,70.73170731707317,68.90243902439023,70.73170731707317,70.1219512195122
2,70.73170731707317,74.39024390243902,70.73170731707317,70.1219512195122
3,70.73170731707317,80.48780487804879,89.02439024390245,87.8048780487805
4,70.73170731707317,81.70731707317073,89.02439024390245,89.02439024390245
5,70.73170731707317,83.53658536585365,89.63414634146342,89.02439024390245
6,70.73170731707317,83.53658536585365,89.63414634146342,92.07317073170732
7,70.73170731707317,83.53658536585365,91.46341463414635,92.07317073170732
8,70.73170731707317,83.53658536585365,91.46341463414635,92.07317073170732
9,70.73170731707317,83.53658536585365,91.46341463414635,92.07317073170732
10,70.73170731707317,83.53658536585365,91.46341463414635,92.07317073170732
11,70.73170731707317,83.53658536585365,91.46341463414635,92.07317073170732
12,70.73170731707317,83.53658536585365,91.46341463414635,92.07317073170732
13,70.73170731707317,83.53658536585365,92.07317073170732,92.07317073170732
14,70.73170731707317,84.14634146341463,92.07317073170732,92.07317073170732
15,70.73170731707317,84.14634146341463,92.07317073170732,92.07317073170732
16,70.73170731707317,84.14634146341463,92.07317073170732,92.07317073170732
17,70.73170731707317,84.14634146341463,92.07317073170732,92.07317073170732
18,70.73170731707317,84.14634146341463,92.07317073170732,92.07317073170732
19,70.73170731707317,84.14634146341463,92.6829268292683,92.07317073170732
20,70.73170731707317,84.14634146341463,92.6829268292683,92.07317073170732
