model,dataset,strategy,success_at_k,execution_success_rate,conditional_success,code_failed,define_test_failed,run_test_failed
phi35mini,humaneval,proposed_v1,0.7682926829268293,0.9146341463414634,0.84,14,0,24
phi35mini,humaneval,code_then_plan_repair,0.7134146341463414,0.7378048780487805,0.9669421487603306,0,0,0
phi35mini,humaneval,repair,0.018292682926829267,0.018292682926829267,1.0,161,0,0
phi35mini,humaneval,single,0.012195121951219513,0.036585365853658534,0.3333333333333333,158,0,4
qwen25coder7b,humaneval,proposed_v1,0.9390243902439024,0.9939024390243902,0.9447852760736196,1,0,9
qwen25coder7b,humaneval,code_then_plan,0.926829268292683,0.9939024390243902,0.9325153374233128,0,0,0
qwen25coder7b,humaneval,code_then_plan_repair,0.9207317073170732,0.975609756097561,0.94375,0,0,0
qwen25coder7b,humaneval,repair,0.8414634146341463,0.8780487804878049,0.9583333333333334,20,0,6
qwen25coder7b,humaneval,single,0.7073170731707317,0.8841463414634146,0.8,19,0,29
phi35mini,mbpp,code_then_plan_repair,0.8054474708171206,0.8754863813229572,0.92,0,0,0
phi35mini,mbpp,proposed_v1,0.7976653696498055,0.8715953307392996,0.9151785714285714,33,0,19
phi35mini,mbpp,code_then_plan,0.7782101167315175,0.867704280155642,0.8968609865470852,0,0,0
phi35mini,mbpp,repair,0.6964980544747081,0.7704280155642024,0.9040404040404041,59,0,19
phi35mini,mbpp,single,0.6342412451361867,0.754863813229572,0.8402061855670103,63,0,31
qwen25coder7b,mbpp,proposed_v1,0.8599221789883269,0.9844357976653697,0.8735177865612648,4,0,32
qwen25coder7b,mbpp,code_then_plan_repair,0.8404669260700389,0.8482490272373541,0.9908256880733946,0,0,0
qwen25coder7b,mbpp,repair,0.8326848249027238,1.0,0.8326848249027238,0,0,43
qwen25coder7b,mbpp,code_then_plan,0.8287937743190662,0.9961089494163424,0.83203125,0,0,0
qwen25coder7b,mbpp,single,0.5252918287937743,0.669260700389105,0.7848837209302325,85,0,37
